Date,Season,HomeTeam,AwayTeam,Result,home_form_points,home_form_gf,home_form_ga,home_form_gd,away_form_points,away_form_gf,away_form_ga,away_form_gd,form_points_diff,form_gd_diff,home_trend,away_trend,trend_diff,home_home_ppg,home_home_gf,home_home_ga,away_away_ppg,away_away_gf,away_away_ga,home_advantage,home_days_rest,away_days_rest,rest_diff,home_season_points,home_season_gd,home_season_position,away_season_points,away_season_gd,away_season_position,position_diff,points_diff_season,h2h_home_wins,h2h_draws,h2h_away_wins,season_phase,home_goal_variance,away_goal_variance,home_streak,away_streak,streak_diff,home_home_streak,away_away_streak
2024-08-23,2425,M'gladbach,Leverkusen,A,3,6,11,-5,11,15,5,10,-8,-15,0.33,1.33,-1.0,0.6,1.0,1.8,2.6,3.0,0.8,-2.0,97,97,0,0,0,10,0,0,10,0,0,0,2,3,1,1.710732257504772,2.0731910463300363,-1,3,-4,0,2
2024-08-23,2425,M'gladbach,Leverkusen,A,3,6,11,-5,11,15,5,10,-8,-15,0.33,1.33,-1.0,0.6,1.0,1.8,2.6,3.0,0.8,-2.0,97,97,0,0,0,10,0,0,10,0,0,0,2,3,1,1.710732257504772,2.0731910463300363,-1,3,-4,0,2
2024-08-24,2425,Augsburg,Werder Bremen,D,0,3,14,-11,11,12,5,7,-11,-18,-1.0,-0.33,-0.6699999999999999,1.4,0.8,1.0,1.0,1.2,1.8,0.3999999999999999,98,98,0,0,0,10,0,0,10,0,0,3,0,2,1,1.2042686100989068,1.3452159005678772,-5,1,-6,-1,0
2024-08-24,2425,Mainz,Union Berlin,D,9,9,4,5,4,8,13,-5,5,10,0.67,0.67,0.0,2.6,2.8,0.4,0.4,0.4,1.4,2.2,98,98,0,0,0,10,0,0,10,0,0,0,2,3,1,1.429420440742669,1.3325791855203621,2,-1,3,1,-1
2024-08-24,2425,Hoffenheim,Holstein Kiel,H,10,17,9,8,0,0,0,0,10,8,1.33,0.0,1.33,2.0,2.4,2.0,0.0,0.0,0.0,2.0,98,14,84,0,0,10,0,0,10,0,0,0,0,0,1,1.6699201804615649,0.0,2,0,2,1,0
2024-08-24,2425,Freiburg,Stuttgart,H,3,4,6,-2,10,11,5,6,-7,-8,-0.67,1.67,-2.34,0.4,1.2,2.2,2.0,1.6,0.8,-1.6,98,98,0,0,0,10,0,0,10,0,0,3,0,2,1,1.3201757205614486,1.5982200998480574,-1,3,-4,0,1
2024-08-24,2425,Dortmund,Ein Frankfurt,H,7,11,9,2,5,8,11,-3,2,5,0.67,-0.33,1.0,2.0,2.6,0.8,0.8,1.0,2.0,1.2,98,98,0,0,0,10,0,0,10,0,0,4,1,0,1,2.2007548152004164,1.6252906472323443,0,0,0,2,0
2024-08-24,2425,Augsburg,Werder Bremen,D,0,3,14,-11,11,12,5,7,-11,-18,-1.0,-0.33,-0.6699999999999999,1.4,0.8,1.0,1.0,1.2,1.8,0.3999999999999999,98,98,0,0,0,10,0,0,10,0,0,3,0,2,1,1.2042686100989068,1.3452159005678772,-5,1,-6,-1,0
2024-08-24,2425,Hoffenheim,Holstein Kiel,H,10,17,9,8,0,0,0,0,10,8,1.33,0.0,1.33,2.0,2.4,2.0,0.0,0.0,0.0,2.0,98,14,84,0,0,10,0,0,10,0,0,0,0,0,1,1.6699201804615649,0.0,2,0,2,1,0
2024-08-24,2425,Freiburg,Stuttgart,H,3,4,6,-2,10,11,5,6,-7,-8,-0.67,1.67,-2.34,0.4,1.2,2.2,2.0,1.6,0.8,-1.6,98,98,0,0,0,10,0,0,10,0,0,3,0,2,1,1.3201757205614486,1.5982200998480574,-1,3,-4,0,1
2024-08-24,2425,Mainz,Union Berlin,D,9,9,4,5,4,8,13,-5,5,10,0.67,0.67,0.0,2.6,2.8,0.4,0.4,0.4,1.4,2.2,98,98,0,0,0,10,0,0,10,0,0,0,2,3,1,1.429420440742669,1.3325791855203621,2,-1,3,1,-1
2024-08-24,2425,RB Leipzig,Bochum,H,9,10,6,4,6,8,15,-7,3,11,-2.0,-0.33,-1.67,2.2,2.0,0.4,0.6,1.2,2.4,1.6,98,98,0,0,0,10,0,0,10,0,0,3,1,1,1,2.235945300629477,1.275480489225393,0,-1,1,0,-3
2024-08-24,2425,Dortmund,Ein Frankfurt,H,7,11,9,2,5,8,11,-3,2,5,0.67,-0.33,1.0,2.0,2.6,0.8,0.8,1.0,2.0,1.2,98,98,0,0,0,10,0,0,10,0,0,4,1,0,1,2.2007548152004164,1.6252906472323443,0,0,0,2,0
2024-08-24,2425,RB Leipzig,Bochum,H,9,10,6,4,6,8,15,-7,3,11,-2.0,-0.33,-1.67,2.2,2.0,0.4,0.6,1.2,2.4,1.6,98,98,0,0,0,10,0,0,10,0,0,3,1,1,1,2.235945300629477,1.275480489225393,0,-1,1,0,-3
2024-08-25,2425,St Pauli,Heidenheim,A,0,0,0,0,8,8,5,3,-8,-3,0.0,0.33,-0.33,0.0,0.0,0.0,1.2,1.2,1.2,-1.2,14,99,-85,0,0,10,0,0,10,0,0,0,0,0,1,0.0,1.165775401069519,0,1,-1,0,0
2024-08-25,2425,Wolfsburg,Bayern Munich,A,9,7,6,1,9,12,9,3,0,-2,-1.0,-2.0,1.0,1.2,1.4,1.8,1.2,3.0,2.6,0.0,99,99,0,0,0,10,0,0,10,0,0,0,1,4,1,1.6954624327607148,3.0208138122505637,-3,2,-5,-1,-1
2024-08-25,2425,St Pauli,Heidenheim,A,0,0,0,0,8,8,5,3,-8,-3,0.0,0.33,-0.33,0.0,0.0,0.0,1.2,1.2,1.2,-1.2,14,99,-85,0,0,10,0,0,10,0,0,0,0,0,1,0.0,1.165775401069519,0,1,-1,0,0
2024-08-25,2425,Wolfsburg,Bayern Munich,A,9,7,6,1,9,12,9,3,0,-2,-1.0,-2.0,1.0,1.2,1.4,1.8,1.2,3.0,2.6,0.0,99,99,0,0,0,10,0,0,10,0,0,0,1,4,1,1.6954624327607148,3.0208138122505637,-3,2,-5,-1,-1
2024-08-30,2425,Union Berlin,St Pauli,H,5,9,10,-1,0,0,4,-4,5,3,1.33,0.0,1.33,1.2,1.6,2.4,0.0,0.0,0.0,1.2,6,5,1,2,0,11,0,-4,18,7,2,0,0,0,1,1.3182034543723649,0.0,0,-2,2,-1,0
2024-08-30,2425,Union Berlin,St Pauli,H,5,9,10,-1,0,0,4,-4,5,3,1.33,0.0,1.33,1.2,1.6,2.4,0.0,0.0,0.0,1.2,6,5,1,2,0,11,0,-4,18,7,2,0,0,0,1,1.3182034543723649,0.0,0,-2,2,-1,0
2024-08-31,2425,Bochum,M'gladbach,A,3,5,14,-9,2,7,13,-6,1,-3,-2.0,-1.0,-1.0,1.0,1.4,2.4,1.0,1.8,2.4,0.0,7,8,-1,0,-2,14,0,-2,12,-2,0,1,0,4,1,1.2770724421209858,1.7014371216408566,-3,-3,0,0,-1
2024-08-31,2425,Ein Frankfurt,Hoffenheim,H,2,4,12,-8,13,17,7,10,-11,-18,0.0,1.67,-1.67,1.2,1.4,1.8,0.6,2.2,2.4,0.6,7,7,0,0,-4,17,6,2,6,-11,-6,3,1,1,1,1.6290322580645162,1.6705681603814035,-2,4,-6,0,-3
2024-08-31,2425,Holstein Kiel,Wolfsburg,A,0,4,6,-2,3,8,11,-3,-3,1,0.0,-2.0,2.0,0.0,0.0,0.0,1.2,0.8,1.6,-1.2,7,6,1,0,-2,13,0,-2,15,2,0,0,0,0,1,0.0,1.6871345029239762,-2,-5,3,0,-1
2024-08-31,2425,Stuttgart,Mainz,D,9,10,7,3,9,9,4,5,0,-2,-1.33,0.0,-1.33,2.6,3.0,0.8,1.2,1.2,2.2,1.4000000000000001,7,7,0,0,-4,16,2,0,11,-5,-2,3,2,0,1,1.587658084008449,1.421592838400988,1,0,1,3,1
2024-08-31,2425,Werder Bremen,Dortmund,D,7,11,8,3,12,13,4,9,-5,-6,0.0,2.0,-2.0,1.4,1.8,1.6,1.8,1.4,1.8,-0.40000000000000013,7,7,0,2,0,10,6,4,3,-7,-4,1,0,4,1,1.3386670332924404,2.1880348476273777,0,2,-2,1,1
2024-08-31,2425,Leverkusen,RB Leipzig,A,15,18,6,12,9,6,4,2,6,10,0.67,0.67,0.0,2.6,2.6,0.8,2.2,2.8,1.2,0.3999999999999999,8,7,1,6,2,5,6,2,7,2,0,3,0,2,1,2.068391898612611,2.226624956551964,5,2,3,1,0
