Date,Season,HomeTeam,AwayTeam,Result,home_form_points,home_form_gf,home_form_ga,home_form_gd,away_form_points,away_form_gf,away_form_ga,away_form_gd,form_points_diff,form_gd_diff,home_trend,away_trend,trend_diff,home_home_ppg,home_home_gf,home_home_ga,away_away_ppg,away_away_gf,away_away_ga,home_advantage,home_days_rest,away_days_rest,rest_diff,home_season_points,home_season_gd,home_season_position,away_season_points,away_season_gd,away_season_position,position_diff,points_diff_season,h2h_home_wins,h2h_draws,h2h_away_wins,season_phase
2025-08-22,2526,Bayern Munich,RB Leipzig,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-22,2526,Bayern Munich,RB Leipzig,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Union Berlin,Stuttgart,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,St Pauli,Dortmund,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Freiburg,Augsburg,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Ein Frankfurt,Werder Bremen,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Leverkusen,Hoffenheim,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Heidenheim,Wolfsburg,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Heidenheim,Wolfsburg,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Leverkusen,Hoffenheim,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Union Berlin,Stuttgart,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,St Pauli,Dortmund,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Freiburg,Augsburg,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-23,2526,Ein Frankfurt,Werder Bremen,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-24,2526,M'gladbach,Hamburg,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-24,2526,Mainz,FC Koln,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-24,2526,Mainz,FC Koln,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-24,2526,M'gladbach,Hamburg,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0,0,0,10,0,0,10,0,0,0,0,0,1
2025-08-29,2526,Hamburg,St Pauli,A,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,-1,2,0,11,2,0,8,-3,0,0,0,0,1
