Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
2526,22/08/2025,Bayern Munich,RB Leipzig,6,0,H
2526,23/08/2025,Ein Frankfurt,Werder Bremen,4,1,H
2526,23/08/2025,Freiburg,Augsburg,1,3,A
2526,23/08/2025,Heidenheim,Wolfsburg,1,3,A
2526,23/08/2025,Leverkusen,Hoffenheim,1,2,A
2526,23/08/2025,Union Berlin,Stuttgart,2,1,H
2526,23/08/2025,St Pauli,Dortmund,3,3,D
2526,24/08/2025,Mainz,FC Koln,0,1,A
2526,24/08/2025,M'gladbach,Hamburg,0,0,D
2526,29/08/2025,Hamburg,St Pauli,0,2,A
2526,30/08/2025,Hoffenheim,Ein Frankfurt,1,3,A
2526,30/08/2025,RB Leipzig,Heidenheim,2,0,H
2526,30/08/2025,Stuttgart,M'gladbach,1,0,H
2526,30/08/2025,Werder Bremen,Leverkusen,3,3,D
2526,30/08/2025,Augsburg,Bayern Munich,2,3,A
2526,31/08/2025,Wolfsburg,Mainz,1,1,D
2526,31/08/2025,Dortmund,Union Berlin,3,0,H
2526,31/08/2025,FC Koln,Freiburg,4,1,H
2526,12/09/2025,Leverkusen,Ein Frankfurt,3,1,H
2526,13/09/2025,Freiburg,Stuttgart,3,1,H
2526,13/09/2025,Heidenheim,Dortmund,0,2,A
2526,13/09/2025,Mainz,RB Leipzig,0,1,A
2526,13/09/2025,Union Berlin,Hoffenheim,2,4,A
2526,13/09/2025,Wolfsburg,FC Koln,3,3,D
2526,13/09/2025,Bayern Munich,Hamburg,5,0,H
2526,14/09/2025,St Pauli,Augsburg,2,1,H
2526,14/09/2025,M'gladbach,Werder Bremen,0,4,A
2526,19/09/2025,Stuttgart,St Pauli,2,0,H
2526,20/09/2025,Augsburg,Mainz,1,4,A
2526,20/09/2025,Hamburg,Heidenheim,2,1,H
2526,20/09/2025,Hoffenheim,Bayern Munich,1,4,A
2526,20/09/2025,Werder Bremen,Freiburg,0,3,A
2526,20/09/2025,RB Leipzig,FC Koln,3,1,H
2526,21/09/2025,Ein Frankfurt,Union Berlin,3,4,A
2526,21/09/2025,Leverkusen,M'gladbach,1,1,D
2526,21/09/2025,Dortmund,Wolfsburg,1,0,H
2526,26/09/2025,Bayern Munich,Werder Bremen,4,0,H
2526,27/09/2025,Heidenheim,Augsburg,2,1,H
2526,27/09/2025,Mainz,Dortmund,0,2,A
2526,27/09/2025,St Pauli,Leverkusen,1,2,A
2526,27/09/2025,Wolfsburg,RB Leipzig,0,1,A
2526,27/09/2025,M'gladbach,Ein Frankfurt,4,6,A
2526,28/09/2025,Freiburg,Hoffenheim,1,1,D
2526,28/09/2025,FC Koln,Stuttgart,1,2,A
2526,28/09/2025,Union Berlin,Hamburg,0,0,D
2526,03/10/2025,Hoffenheim,FC Koln,0,1,A
2526,04/10/2025,Augsburg,Wolfsburg,3,1,H
2526,04/10/2025,Dortmund,RB Leipzig,1,1,D
2526,04/10/2025,Leverkusen,Union Berlin,2,0,H
2526,04/10/2025,Werder Bremen,St Pauli,1,0,H
2526,04/10/2025,Ein Frankfurt,Bayern Munich,0,3,A
2526,05/10/2025,Stuttgart,Heidenheim,1,0,H
2526,05/10/2025,Hamburg,Mainz,4,0,H
2526,05/10/2025,M'gladbach,Freiburg,0,0,D
2526,17/10/2025,Union Berlin,M'gladbach,3,1,H
2526,18/10/2025,FC Koln,Augsburg,1,1,D
2526,18/10/2025,Heidenheim,Werder Bremen,2,2,D
2526,18/10/2025,Mainz,Leverkusen,3,4,A
2526,18/10/2025,RB Leipzig,Hamburg,2,1,H
2526,18/10/2025,Wolfsburg,Stuttgart,0,3,A
2526,18/10/2025,Bayern Munich,Dortmund,2,1,H
2526,19/10/2025,Freiburg,Ein Frankfurt,2,2,D
2526,19/10/2025,St Pauli,Hoffenheim,0,3,A
2526,24/10/2025,Werder Bremen,Union Berlin,1,0,H
2526,25/10/2025,Augsburg,RB Leipzig,0,6,A
