Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
1415,22/08/14,Bayern Munich,Wolfsburg,2,1,H
1415,23/08/14,Dortmund,Leverkusen,0,2,A
1415,23/08/14,Ein Frankfurt,Freiburg,1,0,H
1415,23/08/14,FC Koln,Hamburg,0,0,D
1415,23/08/14,Hannover,Schalke 04,2,1,H
1415,23/08/14,Hertha,Werder Bremen,2,2,D
1415,23/08/14,Hoffenheim,Augsburg,2,0,H
1415,24/08/14,M'gladbach,Stuttgart,1,1,D
1415,24/08/14,Paderborn,Mainz,2,2,D
1415,29/08/14,Augsburg,Dortmund,2,3,A
1415,30/08/14,Hamburg,Paderborn,0,3,A
1415,30/08/14,Leverkusen,Hertha,4,2,H
1415,30/08/14,Schalke 04,Bayern Munich,1,1,D
1415,30/08/14,Stuttgart,FC Koln,0,2,A
1415,30/08/14,Werder Bremen,Hoffenheim,1,1,D
1415,30/08/14,Wolfsburg,Ein Frankfurt,2,2,D
1415,31/08/14,Freiburg,M'gladbach,0,0,D
1415,31/08/14,Mainz,Hannover,0,0,D
1415,12/09/14,Leverkusen,Werder Bremen,3,3,D
1415,13/09/14,Bayern Munich,Stuttgart,2,0,H
1415,13/09/14,Dortmund,Freiburg,3,1,H
1415,13/09/14,Hertha,Mainz,1,3,A
1415,13/09/14,Hoffenheim,Wolfsburg,1,1,D
1415,13/09/14,M'gladbach,Schalke 04,4,1,H
1415,13/09/14,Paderborn,FC Koln,0,0,D
1415,14/09/14,Ein Frankfurt,Augsburg,0,1,A
1415,14/09/14,Hannover,Hamburg,2,0,H
1415,19/09/14,Freiburg,Hertha,2,2,D
1415,20/09/14,Augsburg,Werder Bremen,4,2,H
1415,20/09/14,Hamburg,Bayern Munich,0,0,D
1415,20/09/14,Mainz,Dortmund,2,0,H
1415,20/09/14,Paderborn,Hannover,2,0,H
1415,20/09/14,Schalke 04,Ein Frankfurt,2,2,D
1415,20/09/14,Stuttgart,Hoffenheim,0,2,A
1415,21/09/14,FC Koln,M'gladbach,0,0,D
1415,21/09/14,Wolfsburg,Leverkusen,4,1,H
1415,23/09/14,Bayern Munich,Paderborn,4,0,H
1415,23/09/14,Ein Frankfurt,Mainz,2,2,D
1415,23/09/14,Hoffenheim,Freiburg,3,3,D
1415,23/09/14,Werder Bremen,Schalke 04,0,3,A
1415,24/09/14,Dortmund,Stuttgart,2,2,D
1415,24/09/14,Hannover,FC Koln,1,0,H
1415,24/09/14,Hertha,Wolfsburg,1,0,H
1415,24/09/14,Leverkusen,Augsburg,1,0,H
1415,24/09/14,M'gladbach,Hamburg,1,0,H
1415,26/09/14,Mainz,Hoffenheim,0,0,D
1415,27/09/14,FC Koln,Bayern Munich,0,2,A
1415,27/09/14,Freiburg,Leverkusen,0,0,D
1415,27/09/14,Paderborn,M'gladbach,1,2,A
1415,27/09/14,Schalke 04,Dortmund,2,1,H
1415,27/09/14,Stuttgart,Hannover,1,0,H
1415,27/09/14,Wolfsburg,Werder Bremen,2,1,H
1415,28/09/14,Augsburg,Hertha,1,0,H
1415,28/09/14,Hamburg,Ein Frankfurt,1,2,A
1415,03/10/14,Hertha,Stuttgart,3,2,H
1415,04/10/14,Bayern Munich,Hannover,4,0,H
1415,04/10/14,Dortmund,Hamburg,0,1,A
1415,04/10/14,Ein Frankfurt,FC Koln,3,2,H
1415,04/10/14,Hoffenheim,Schalke 04,2,1,H
1415,04/10/14,Leverkusen,Paderborn,2,2,D
1415,04/10/14,Werder Bremen,Freiburg,1,1,D
1415,05/10/14,M'gladbach,Mainz,1,1,D
1415,05/10/14,Wolfsburg,Augsburg,1,0,H
1415,18/10/14,Bayern Munich,Werder Bremen,6,0,H
1415,18/10/14,FC Koln,Dortmund,2,1,H
1415,18/10/14,Freiburg,Wolfsburg,1,2,A
1415,18/10/14,Hannover,M'gladbach,0,3,A
1415,18/10/14,Mainz,Augsburg,2,1,H
1415,18/10/14,Schalke 04,Hertha,2,0,H
1415,18/10/14,Stuttgart,Leverkusen,3,3,D
1415,19/10/14,Hamburg,Hoffenheim,1,1,D
1415,19/10/14,Paderborn,Ein Frankfurt,3,1,H
1415,24/10/14,Werder Bremen,FC Koln,0,1,A
1415,25/10/14,Augsburg,Freiburg,2,0,H
1415,25/10/14,Dortmund,Hannover,0,1,A
1415,25/10/14,Ein Frankfurt,Stuttgart,4,5,A
1415,25/10/14,Hertha,Hamburg,3,0,H
1415,25/10/14,Hoffenheim,Paderborn,1,0,H
1415,25/10/14,Leverkusen,Schalke 04,1,0,H
1415,26/10/14,M'gladbach,Bayern Munich,0,0,D
1415,26/10/14,Wolfsburg,Mainz,3,0,H
1415,31/10/14,Schalke 04,Augsburg,1,0,H
1415,01/11/14,Bayern Munich,Dortmund,2,1,H
1415,01/11/14,Hamburg,Leverkusen,1,0,H
1415,01/11/14,Hannover,Ein Frankfurt,1,0,H
1415,01/11/14,Mainz,Werder Bremen,1,2,A
